,pa1,pa2,pa3,pa4,pa5,pa6
0,0.07313642756680731,0.05696202531645571,0.2763713080168776,0.18706047819971872,0.39639006094702295,0.010079699953117709
1,0.06804816577989359,0.04844581349761971,0.252310277233268,0.19434332119854386,0.42677121254550543,0.010081209745169429
2,0.05485098287888395,0.055168040583386174,0.2415979708306912,0.19784400760938495,0.4403931515535827,0.01014584654407103
3,0.06240981240981241,0.05014430014430015,0.22438672438672444,0.20021645021645024,0.45274170274170283,0.010101010101009951
4,0.06784313725490196,0.041176470588235314,0.1776470588235294,0.1905882352941177,0.5129411764705882,0.009803921568627416
5,0.05416991426344506,0.05378020265003898,0.18939984411535465,0.21590023382696805,0.4766173031956353,0.01013250194855799
6,0.09187396351575457,0.04577114427860695,0.2069651741293532,0.1840796019900498,0.4613598673300165,0.009950248756218987
7,0.07543478260869566,0.060217391304347834,0.2184782608695652,0.18826086956521743,0.447608695652174,0.009999999999999865
8,0.08216125887759365,0.057930650327252475,0.23673583066425288,0.18841386993454953,0.4196978136749756,0.015060576521375879
9,0.07779396928595449,0.054478197511489745,0.22564734895191121,0.19840825019616637,0.42865149646900585,0.015020737585472321
10,0.07165664913598799,0.061795642374154774,0.2249248685199098,0.19224267468069128,0.42937640871525173,0.020003756574004432
11,0.0679357969391564,0.05832400149309444,0.24589399029488615,0.19746173945502055,0.410414333706607,0.019970138111235408
12,0.06836964688204358,0.06188955672426747,0.24427122464312548,0.19872276483846732,0.4067430503380917,0.020003756574004432
13,0.07796055992643301,0.06028405027076734,0.2622867068560335,0.20557882905895578,0.3738632880351485,0.020026565852661847
14,0.07989587505006009,0.07278734481377652,0.22927513015618745,0.19102923508209851,0.406988386063276,0.020024028834601453
15,0.06852967315098252,0.06507356571541424,0.23629900266613998,0.19522069714624268,0.4148316381949244,0.020045423126296154
16,0.06830036413738805,0.06485582127743333,0.23206377325066427,0.20470426139159537,0.41009743135518156,0.01997834858773737
17,0.0676244227809133,0.0676244227809133,0.24197024114930737,0.19589533093894304,0.4068753206772705,0.02001026167265249
18,0.07543058725876738,0.06121601992114546,0.23749740610085077,0.2194438680224113,0.38638721726499275,0.02002490143183229
19,0.05650759219088937,0.07505422993492408,0.2522776572668113,0.22136659436008674,0.3748373101952277,0.01995661605206085
20,0.06347209515096067,0.07147758462946019,0.28145013723696255,0.1868709972552608,0.3767154620311071,0.020013723696248736
21,0.0591025173294418,0.0633588714581053,0.27435242612185334,0.20235923628845914,0.38586890429283716,0.014958044509303308
22,0.057922668688400306,0.06307808946171342,0.26853677028051554,0.20515542077331314,0.3902956785443518,0.015011372251705735
23,0.06714396284829721,0.06714396284829721,0.23490712074303405,0.21458978328173373,0.4061532507739937,0.010061919504644058
