,pa1,pa2,pa3,pa4,pa5,pa6
0,0.0731,0.1301,0.4065,0.5935,0.9899,1.0
1,0.068,0.1165,0.3688,0.5631,0.9899,1.0
2,0.0549,0.11,0.3516,0.5495,0.9899,1.0
3,0.0624,0.1126,0.3369,0.5372,0.9899,1.0
4,0.0678,0.109,0.2867,0.4773,0.9902,1.0
5,0.0542,0.108,0.2973,0.5133,0.9899,1.0
6,0.0919,0.1376,0.3446,0.5287,0.99,1.0
7,0.0754,0.1357,0.3541,0.5424,0.99,1.0
8,0.0822,0.1401,0.3768,0.5652,0.9849,1.0
9,0.0778,0.1323,0.3579,0.5563,0.985,1.0
10,0.0717,0.1335,0.3584,0.5506,0.98,1.0
11,0.0679,0.1263,0.3722,0.5696,0.98,1.0
12,0.0684,0.1303,0.3745,0.5733,0.98,1.0
13,0.078,0.1382,0.4005,0.6061,0.98,1.0
14,0.0799,0.1527,0.382,0.573,0.98,1.0
15,0.0685,0.1336,0.3699,0.5651,0.98,1.0
16,0.0683,0.1332,0.3652,0.5699,0.98,1.0
17,0.0676,0.1352,0.3772,0.5731,0.98,1.0
18,0.0754,0.1366,0.3741,0.5936,0.98,1.0
19,0.0565,0.1316,0.3838,0.6052,0.98,1.0
20,0.0635,0.1349,0.4164,0.6033,0.98,1.0
21,0.0591,0.1225,0.3968,0.5992,0.985,1.0
22,0.0579,0.121,0.3895,0.5947,0.985,1.0
23,0.0671,0.1343,0.3692,0.5838,0.9899,1.0
