0,0.719
1,0.757
2,0.809
3,0.858
4,0.956
5,0.945
6,0.841
7,0.659
8,0.526
9,0.482
10,0.429
11,0.446
12,0.419
13,0.45
14,0.45
15,0.447
16,0.429
17,0.464
18,0.474
19,0.467
20,0.481
21,0.52
22,0.565
23,0.684
